Instance	Strategy	Status	Objective	Time(s)
instance35.dat	FSF策略	Success	45	60.049999952
instance35.dat	split-overlap策略	Success	90	57.150000095
instance35.dat	soft logic-interruption-crew策略	Success	79	2.210000038
instance36.dat	FSF策略	Success	49	60.029999971
instance36.dat	split-overlap策略	Success	69	34.529999971
instance36.dat	soft logic-interruption-crew策略	Success	65	8.350000143
instance37.dat	FSF策略	Success	44	60.029999971
instance37.dat	split-overlap策略	Success	74	2.420000076
instance37.dat	soft logic-interruption-crew策略	Success	74	6.019999981
instance38.dat	FSF策略	Success	48	60.039999962
instance38.dat	split-overlap策略	Success	83	11.319999933
instance38.dat	soft logic-interruption-crew策略	Success	75	2.779999971
instance39.dat	FSF策略	Success	35	60.03000021
instance39.dat	split-overlap策略	Success	56	18.699999809
instance39.dat	soft logic-interruption-crew策略	Success	56	5.789999962
instance40.dat	FSF策略	Success	40	60.029999971
instance40.dat	split-overlap策略	Success	72	24.420000076
instance40.dat	soft logic-interruption-crew策略	Success	68	2.549999952
instance41.dat	FSF策略	Success	46	60
instance41.dat	split-overlap策略	Success	61	11.410000086
instance41.dat	soft logic-interruption-crew策略	Success	61	26.629999876
instance42.dat	FSF策略	Success	65	60.050000191
instance42.dat	split-overlap策略	Success	78	60.029999971
instance42.dat	soft logic-interruption-crew策略	Success	78	60.00999999
instance43.dat	FSF策略	Success	68	60.00999999
instance43.dat	split-overlap策略	Success	78	3.049999952
instance43.dat	soft logic-interruption-crew策略	Success	74	5.350000143
instance44.dat	FSF策略	Success	63	60.019999981
instance44.dat	split-overlap策略	Success	68	60.059999943
instance44.dat	soft logic-interruption-crew策略	Success	68	60.029999971
instance45.dat	FSF策略	Success	77	60.03000021
instance45.dat	split-overlap策略	Success	87	15.230000019
instance45.dat	soft logic-interruption-crew策略	Success	79	60.00999999
instance46.dat	FSF策略	Success	54	60.049999952
instance46.dat	split-overlap策略	Success	79	18.230000019
instance46.dat	soft logic-interruption-crew策略	Success	67	3.779999971
instance47.dat	FSF策略	Success	79	60.019999981
instance47.dat	split-overlap策略	Success	79	60.060000181
instance47.dat	soft logic-interruption-crew策略	Success	79	60.00999999
instance48.dat	FSF策略	Success	66	60.039999962
instance48.dat	split-overlap策略	Success	73	2.349999905
instance48.dat	soft logic-interruption-crew策略	Success	73	37.080000162
instance49.dat	FSF策略	Success	46	60.029999971
instance49.dat	split-overlap策略	Success	58	4.569999933
instance49.dat	soft logic-interruption-crew策略	Success	58	6.74000001
instance50.dat	FSF策略	Success	66	60.059999943
instance50.dat	split-overlap策略	Success	76	3.079999924
instance50.dat	soft logic-interruption-crew策略	Success	76	14.840000153
instance51.dat	FSF策略	Success	55	60.039999962
instance51.dat	split-overlap策略	Success	80	46.329999924
instance51.dat	soft logic-interruption-crew策略	Success	74	35.289999962
instance52.dat	FSF策略	Success	46	60.069999933
instance52.dat	split-overlap策略	Success	73	28.880000114
instance52.dat	soft logic-interruption-crew策略	Success	70	20.549999952
instance53.dat	FSF策略	Success	41	60.00999999
instance53.dat	split-overlap策略	Success	70	38.21999979
instance53.dat	soft logic-interruption-crew策略	Success	63	29.160000086
instance54.dat	FSF策略	Success	44	60.079999924
instance54.dat	split-overlap策略	Success	61	33.029999971
instance54.dat	soft logic-interruption-crew策略	Success	55	10.519999981
instance55.dat	FSF策略	Success	66	60.069999933
instance55.dat	split-overlap策略	Success	77	3.130000114
instance55.dat	soft logic-interruption-crew策略	Success	77	7.140000105
instance56.dat	FSF策略	Success	33	60.059999943
instance56.dat	split-overlap策略	Success	51	12.25999999
instance56.dat	soft logic-interruption-crew策略	Success	51	7.900000095
instance57.dat	FSF策略	Success	43	60.079999924
instance57.dat	split-overlap策略	Success	123	60.210000038
instance57.dat	soft logic-interruption-crew策略	Success	61	9.889999866
instance58.dat	FSF策略	Success	41	60.100000143
instance58.dat	split-overlap策略	Success	59	6.519999981
instance58.dat	soft logic-interruption-crew策略	Success	59	44.75999999
instance59.dat	FSF策略	Success	46	60.100000143
